Date,ALSO3.SA,BBDC4.SA,BBSE3.SA,BMOB3.SA,INTB3.SA,ITSA4.SA,LJQQ3.SA,LWSA3.SA,MLAS3.SA,POSI3.SA,PSSA3.SA,SQIA3.SA,TOTS3.SA
2019-01-07,,30560665,3467500,,,17602720,,,,312000,1271800,,1682807
2019-01-08,,33927722,4137700,,,22662538,,,,180200,1973600,,2828382
2019-01-09,,27569588,6842300,,,41125986,,,,510400,2170400,,2482179
2019-01-10,,29781071,7441300,,,61077824,,,,169600,1410400,,2549371
2019-01-11,,17275155,5571000,,,39364967,,,,399500,2899000,,1384512
2019-01-14,,13903785,2841900,,,23910265,,,,149700,1235000,,3391829
2019-01-15,,20090699,3337300,,,43522135,,,,143300,739200,,3459624
2019-01-16,,17328981,3027000,,,34388078,,,,141500,1511000,,1441158
2019-01-17,,15448757,5491900,,,35950488,,,,116100,1217000,,3564178
2019-01-18,,20097727,5962300,,,29667704,,,,109000,1346200,,3346934
2019-01-21,,12483555,2514000,,,18110903,,,,181700,1138400,,1949465
2019-01-22,,15685941,4505500,,,31842448,,,,310900,2194600,,4073088
2019-01-23,,17293203,5195700,,,85183554,,,,125300,1731600,,1269111
2019-01-24,,25768905,5068800,,,50740059,,,,171400,1847600,,2439694
2019-01-28,,26271224,4921700,,,35044170,,,,133700,1589400,,3193568
2019-01-29,,21450715,3812200,,,25677703,,,,116600,2207200,,7028020
2019-01-30,,34294439,4026100,,,32062412,,,,156100,1673800,,1345342
2019-01-31,,50802779,7380200,,,34561010,,,,499200,2540400,,1613205
2019-02-01,,26545304,5318800,,,22571225,,,,315800,2413400,,709581
2019-02-04,,28072546,4498800,,,22002385,,,,547200,1238400,,1374870
2019-02-05,,27787606,3944300,,,36396834,,,,154400,1170800,,3302341
2019-02-06,,27403000,4434900,,,36238576,,,,162200,1302800,,2654829
2019-02-07,,30796731,3858800,,,23795894,,,,115600,1443000,,2984159
2019-02-08,,29588609,5560100,,,52448674,,,,84700,2928600,,1738248
2019-02-11,,16768204,4484800,,,20431460,,,,70800,1716600,,1820807
2019-02-12,,32518832,13075100,,,23186966,,,,189500,2657400,,1629476
2019-02-13,,36950583,7613800,,,34371833,,,,104000,2684600,,2416795
2019-02-14,,34746766,7627400,,,35579209,,,,94900,2773000,,1971160
2019-02-15,,24143434,4791800,,,41916230,,,,700600,2117200,,1240788
2019-02-18,,15755259,2765800,,,20829857,,,,251600,1202600,,1849431
2019-02-19,,24445625,4434900,,,153150077,,,,131700,836400,,2062456
2019-02-20,,22781981,10815100,,,146478984,,,,114500,2571000,,2680139
2019-02-21,,37820577,8141400,,,129751270,,,,48900,2907400,,1866003
2019-02-22,,44009248,6017500,,,38061824,,,,73700,2108600,,605328
2019-02-25,,24582824,9500100,,,23158537,,,,69400,1669400,,1549027
2019-02-26,,26716683,5499000,,,24325562,,,,143700,2278200,,3415633
2019-02-27,,16541880,4418600,,,22034875,,,,118500,1936600,,2479166
2019-02-28,,26590345,7030100,,,32803790,,,,96500,1545400,,3792268
