pais,pais_nome,ano,valor
URY,Uruguay,2017,46.3780042035515
URY,Uruguay,2016,48.4705583785623
URY,Uruguay,2015,45.3282408087534
USA,United States,2024,25.3786342507088
USA,United States,2023,25.2903297883366
USA,United States,2022,27.3139397355363
USA,United States,2021,25.6095576621932
USA,United States,2020,23.4015629969394
USA,United States,2019,26.4537594940475
USA,United States,2018,27.6103792720958
USA,United States,2017,27.3130208877206
USA,United States,2016,26.6079620604584
USA,United States,2015,27.8235649187872
VEN,"Venezuela, RB",2024,26.0811657596499
VEN,"Venezuela, RB",2023,28.0946077372131
VEN,"Venezuela, RB",2022,27.8982770650022
VEN,"Venezuela, RB",2021,29.2263400311727
VEN,"Venezuela, RB",2020,26.0912344958707
VEN,"Venezuela, RB",2019,58.1292903256504
VEN,"Venezuela, RB",2018,54.6450667905599
VEN,"Venezuela, RB",2017,42.5829358408751
VEN,"Venezuela, RB",2016,41.307217198655
VEN,"Venezuela, RB",2015,60.288846101805
VNM,Viet Nam,2024,173.862024782965
VNM,Viet Nam,2023,164.818071269894
VNM,Viet Nam,2022,183.153619147836
VNM,Viet Nam,2021,186.675832836814
VNM,Viet Nam,2020,163.245862814935
VNM,Viet Nam,2019,164.704215031408
VNM,Viet Nam,2018,164.663936775893
VNM,Viet Nam,2017,160.98008365887
VNM,Viet Nam,2016,145.409507973118
VNM,Viet Nam,2015,144.914228195237
ZAF,South Africa,2024,61.646770473025
ZAF,South Africa,2023,65.6798759740707
ZAF,South Africa,2022,64.94713440234
ZAF,South Africa,2021,56.1647136277546
ZAF,South Africa,2020,50.7596590804177
ZAF,South Africa,2019,53.8979964081406
ZAF,South Africa,2018,54.4855451276341
ZAF,South Africa,2017,53.5359318293741
ZAF,South Africa,2016,55.8612575048782
ZAF,South Africa,2015,56.7266761447156
